epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,218.039,1.00516,1.78775,0.00143,0.89063,0.77256,0.91642,0.70713,1.12266,1.24486,0.00202,0.0006139,0.0006139,0.0006139
80,220.75,1.09281,1.71047,0.00129,0.90173,0.76996,0.91736,0.72747,1.10515,1.21832,0.00202,0.00060895,0.00060895,0.00060895
81,223.654,1.64807,2.57551,0.00266,0.90173,0.76996,0.91736,0.72747,1.10515,1.21832,0.00202,0.000604,0.000604,0.000604
82,226.301,1.16697,1.48094,0.00127,0.90809,0.76844,0.92028,0.72768,1.04193,1.18313,0.00198,0.00059905,0.00059905,0.00059905
83,228.827,1.04722,1.61518,0.0013,0.90809,0.76844,0.92028,0.72768,1.04193,1.18313,0.00198,0.0005941,0.0005941,0.0005941
84,231.555,1.08257,1.46434,0.00114,0.78099,0.88967,0.91984,0.71021,1.05885,1.176,0.00202,0.00058915,0.00058915,0.00058915
85,234.122,0.99132,1.57715,0.0012,0.78099,0.88967,0.91984,0.71021,1.05885,1.176,0.00202,0.0005842,0.0005842,0.0005842
86,237.258,1.19204,1.55319,0.00138,0.91683,0.75561,0.91867,0.71584,1.0804,1.16714,0.00207,0.00057925,0.00057925,0.00057925
87,239.825,0.99179,1.90133,0.00129,0.91683,0.75561,0.91867,0.71584,1.0804,1.16714,0.00207,0.0005743,0.0005743,0.0005743
88,242.485,1.06053,1.67459,0.0016,0.90312,0.77328,0.92307,0.72012,1.05925,1.14293,0.00201,0.00056935,0.00056935,0.00056935
89,244.996,1.22648,1.65768,0.0013,0.90312,0.77328,0.92307,0.72012,1.05925,1.14293,0.00201,0.0005644,0.0005644,0.0005644
90,248.028,1.37685,1.73384,0.00133,0.90318,0.7744,0.92535,0.72546,1.01076,1.11516,0.0019,0.00055945,0.00055945,0.00055945
91,250.519,1.06177,1.79754,0.00142,0.90318,0.7744,0.92535,0.72546,1.01076,1.11516,0.0019,0.0005545,0.0005545,0.0005545
92,253.22,0.95864,1.72544,0.00118,0.91143,0.77427,0.92293,0.73801,0.99587,1.09781,0.00185,0.00054955,0.00054955,0.00054955
93,255.811,1.14443,1.32753,0.00115,0.91143,0.77427,0.92293,0.73801,0.99587,1.09781,0.00185,0.0005446,0.0005446,0.0005446
94,258.523,0.98753,1.41276,0.0011,0.92851,0.77044,0.92238,0.73762,0.98459,1.09009,0.00181,0.00053965,0.00053965,0.00053965
95,261.442,0.91619,1.65094,0.00118,0.92851,0.77044,0.92238,0.73762,0.98459,1.09009,0.00181,0.0005347,0.0005347,0.0005347
96,264.104,0.90468,1.56068,0.00105,0.93006,0.7662,0.92318,0.75295,0.97567,1.08534,0.00178,0.00052975,0.00052975,0.00052975
97,266.66,0.87126,1.44352,0.00104,0.93006,0.7662,0.92318,0.75295,0.97567,1.08534,0.00178,0.0005248,0.0005248,0.0005248
98,269.604,1.06373,1.35469,0.00132,0.91482,0.76691,0.93189,0.75598,0.9739,1.0812,0.00182,0.00051985,0.00051985,0.00051985
99,272.206,1.06234,1.37057,0.00113,0.91482,0.76691,0.93189,0.75598,0.9739,1.0812,0.00182,0.0005149,0.0005149,0.0005149
100,275.297,1.00134,1.53603,0.00136,0.88716,0.77391,0.93125,0.75031,0.98895,1.05512,0.00186,0.00050995,0.00050995,0.00050995
101,277.807,1.52795,1.67661,0.00145,0.88716,0.77391,0.93125,0.75031,0.98895,1.05512,0.00186,0.000505,0.000505,0.000505
102,280.617,1.3253,1.55317,0.00129,0.7682,0.92222,0.9284,0.74093,1.01846,1.05488,0.00188,0.00050005,0.00050005,0.00050005
103,283.189,1.12869,1.49012,0.00145,0.7682,0.92222,0.9284,0.74093,1.01846,1.05488,0.00188,0.0004951,0.0004951,0.0004951
104,285.931,1.02902,1.19166,0.00111,0.74887,0.94031,0.92742,0.7292,1.07802,1.05674,0.00194,0.00049015,0.00049015,0.00049015
105,288.876,0.96516,1.40206,0.00119,0.74887,0.94031,0.92742,0.7292,1.07802,1.05674,0.00194,0.0004852,0.0004852,0.0004852
106,291.529,1.07199,1.4613,0.00121,0.73276,0.95,0.92771,0.73279,1.05648,1.04202,0.00195,0.00048025,0.00048025,0.00048025
107,294.102,1.02466,1.49685,0.0012,0.73276,0.95,0.92771,0.73279,1.05648,1.04202,0.00195,0.0004753,0.0004753,0.0004753
108,296.914,1.13972,2.02196,0.00137,0.87019,0.81052,0.9282,0.73733,1.00667,1.01207,0.00191,0.00047035,0.00047035,0.00047035
109,299.853,1.09185,1.40073,0.00138,0.87019,0.81052,0.9282,0.73733,1.00667,1.01207,0.00191,0.0004654,0.0004654,0.0004654
110,302.566,0.9414,1.55038,0.00115,0.87134,0.82156,0.92937,0.75652,0.95637,0.98494,0.00182,0.00046045,0.00046045,0.00046045
111,305.116,1.22534,1.40562,0.00129,0.87134,0.82156,0.92937,0.75652,0.95637,0.98494,0.00182,0.0004555,0.0004555,0.0004555
112,307.873,1.51878,1.27396,0.0013,0.87235,0.80138,0.9274,0.77009,0.92028,0.97213,0.00174,0.00045055,0.00045055,0.00045055
113,310.478,1.14536,1.35432,0.00119,0.87235,0.80138,0.9274,0.77009,0.92028,0.97213,0.00174,0.0004456,0.0004456,0.0004456
